Step 38. Reward: 8.604226, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 658.694657. Return so far: 255.710660. Done: 0. Took 271.067975 seconds!
Step 39. Reward: 8.654988, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 662.334563. Return so far: 264.365649. Done: 0. Took 269.586955 seconds!
Step 40. Reward: 8.917932, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 664.104111. Return so far: 273.283581. Done: 0. Took 270.476677 seconds!
Step 41. Reward: 9.179741, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 669.231515. Return so far: 282.463321. Done: 0. Took 269.537657 seconds!
Step 42. Reward: 9.426169, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 673.525434. Return so far: 291.889490. Done: 0. Took 269.140485 seconds!
Step 43. Reward: 9.666936, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 676.770081. Return so far: 301.556427. Done: 0. Took 269.327272 seconds!
Step 44. Reward: 9.861037, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 683.442619. Return so far: 311.417463. Done: 0. Took 271.926378 seconds!
Step 45. Reward: 10.124757, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 689.158638. Return so far: 321.542221. Done: 0. Took 271.822312 seconds!
Step 46. Reward: 10.173545, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 691.204958. Return so far: 331.715766. Done: 0. Took 270.977922 seconds!
Step 47. Reward: 10.177378, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 694.380620. Return so far: 341.893144. Done: 0. Took 269.686389 seconds!
Step 48. Reward: 10.189996, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 696.590287. Return so far: 352.083141. Done: 0. Took 270.786681 seconds!
Step 49. Reward: 10.161353, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 701.022060. Return so far: 362.244494. Done: 0. Took 270.106797 seconds!
Step 50. Reward: 10.162208, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 705.656428. Return so far: 372.406702. Done: 0. Took 267.626075 seconds!
Step 51. Reward: 10.167362, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 709.632358. Return so far: 382.574064. Done: 0. Took 268.248522 seconds!
